,STATISTIC,STATISTIC Label,TLIST(M1),Month,C02431V02938,Meteorological Weather Station,UNIT,VALUE
8026,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200208,2002M08,2,Birr,Knots,35.0
8027,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200208,2002M08,3,Valentia Observatory,Knots,45.0
8028,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200208,2002M08,4,Casement,Knots,40.0
8030,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200208,2002M08,6,Clones,Knots,34.0
8031,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200208,2002M08,7,Cork airport,Knots,39.0
8032,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200208,2002M08,8,Dublin airport,Knots,41.0
8034,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200208,2002M08,10,Kilkenny,Knots,33.0
8035,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200208,2002M08,11,Malin head,Knots,49.0
8036,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200208,2002M08,12,Mullingar,Knots,37.0
8038,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200208,2002M08,14,Rosslare,Knots,47.0
8039,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200208,2002M08,15,Shannon airport,Knots,45.0
8040,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200209,2002M09,1,Belmullet,Knots,43.0
8041,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200209,2002M09,2,Birr,Knots,28.0
8042,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200209,2002M09,3,Valentia Observatory,Knots,35.0
8043,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200209,2002M09,4,Casement,Knots,33.0
8045,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200209,2002M09,6,Clones,Knots,29.0
8046,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200209,2002M09,7,Cork airport,Knots,30.0
8047,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200209,2002M09,8,Dublin airport,Knots,34.0
8049,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200209,2002M09,10,Kilkenny,Knots,27.0
8050,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200209,2002M09,11,Malin head,Knots,43.0
8051,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200209,2002M09,12,Mullingar,Knots,29.0
8053,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200209,2002M09,14,Rosslare,Knots,35.0
8054,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200209,2002M09,15,Shannon airport,Knots,32.0
8055,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200210,2002M10,1,Belmullet,Knots,57.0
8056,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200210,2002M10,2,Birr,Knots,55.0
8057,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200210,2002M10,3,Valentia Observatory,Knots,65.0
8058,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200210,2002M10,4,Casement,Knots,64.0
8060,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200210,2002M10,6,Clones,Knots,49.0
8061,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200210,2002M10,7,Cork airport,Knots,55.0
8062,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200210,2002M10,8,Dublin airport,Knots,67.0
8064,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200210,2002M10,10,Kilkenny,Knots,56.0
8065,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200210,2002M10,11,Malin head,Knots,54.0
8066,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200210,2002M10,12,Mullingar,Knots,48.0
8068,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200210,2002M10,14,Rosslare,Knots,66.0
8069,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200210,2002M10,15,Shannon airport,Knots,61.0
8070,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200211,2002M11,1,Belmullet,Knots,61.0
8071,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200211,2002M11,2,Birr,Knots,44.0
8072,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200211,2002M11,3,Valentia Observatory,Knots,47.0
8073,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200211,2002M11,4,Casement,Knots,48.0
8075,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200211,2002M11,6,Clones,Knots,40.0
8076,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200211,2002M11,7,Cork airport,Knots,52.0
8077,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200211,2002M11,8,Dublin airport,Knots,51.0
8079,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200211,2002M11,10,Kilkenny,Knots,38.0
8080,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200211,2002M11,11,Malin head,Knots,62.0
8081,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200211,2002M11,12,Mullingar,Knots,49.0
8083,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200211,2002M11,14,Rosslare,Knots,47.0
8084,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200211,2002M11,15,Shannon airport,Knots,47.0
8085,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200212,2002M12,1,Belmullet,Knots,75.0
8086,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200212,2002M12,2,Birr,Knots,51.0
8087,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200212,2002M12,3,Valentia Observatory,Knots,63.0
8088,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200212,2002M12,4,Casement,Knots,49.0
8090,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200212,2002M12,6,Clones,Knots,49.0
8091,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200212,2002M12,7,Cork airport,Knots,50.0
8092,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200212,2002M12,8,Dublin airport,Knots,48.0
8094,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200212,2002M12,10,Kilkenny,Knots,46.0
8095,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200212,2002M12,11,Malin head,Knots,62.0
8096,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200212,2002M12,12,Mullingar,Knots,38.0
8098,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200212,2002M12,14,Rosslare,Knots,49.0
8099,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200212,2002M12,15,Shannon airport,Knots,59.0
8100,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200301,2003M01,1,Belmullet,Knots,69.0
8101,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200301,2003M01,2,Birr,Knots,43.0
8102,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200301,2003M01,3,Valentia Observatory,Knots,61.0
8103,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200301,2003M01,4,Casement,Knots,55.0
8105,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200301,2003M01,6,Clones,Knots,56.0
8106,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200301,2003M01,7,Cork airport,Knots,53.0
8107,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200301,2003M01,8,Dublin airport,Knots,50.0
8109,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200301,2003M01,10,Kilkenny,Knots,48.0
8110,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200301,2003M01,11,Malin head,Knots,70.0
8111,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200301,2003M01,12,Mullingar,Knots,42.0
8113,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200301,2003M01,14,Rosslare,Knots,53.0
8114,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200301,2003M01,15,Shannon airport,Knots,56.0
8115,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200302,2003M02,1,Belmullet,Knots,63.0
8116,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200302,2003M02,2,Birr,Knots,40.0
8117,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200302,2003M02,3,Valentia Observatory,Knots,61.0
8118,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200302,2003M02,4,Casement,Knots,43.0
8120,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200302,2003M02,6,Clones,Knots,41.0
8121,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200302,2003M02,7,Cork airport,Knots,47.0
8122,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200302,2003M02,8,Dublin airport,Knots,42.0
8124,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200302,2003M02,10,Kilkenny,Knots,36.0
8125,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200302,2003M02,11,Malin head,Knots,69.0
8126,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200302,2003M02,12,Mullingar,Knots,36.0
8128,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200302,2003M02,14,Rosslare,Knots,46.0
8129,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200302,2003M02,15,Shannon airport,Knots,51.0
8130,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200303,2003M03,1,Belmullet,Knots,60.0
8131,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200303,2003M03,2,Birr,Knots,37.0
8132,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200303,2003M03,3,Valentia Observatory,Knots,54.0
8133,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200303,2003M03,4,Casement,Knots,45.0
8135,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200303,2003M03,6,Clones,Knots,38.0
8136,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200303,2003M03,7,Cork airport,Knots,52.0
8137,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200303,2003M03,8,Dublin airport,Knots,48.0
8139,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200303,2003M03,10,Kilkenny,Knots,43.0
8140,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200303,2003M03,11,Malin head,Knots,54.0
8141,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200303,2003M03,12,Mullingar,Knots,38.0
8143,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200303,2003M03,14,Rosslare,Knots,50.0
8144,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200303,2003M03,15,Shannon airport,Knots,47.0
8145,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200304,2003M04,1,Belmullet,Knots,42.0
8146,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200304,2003M04,2,Birr,Knots,35.0
8147,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200304,2003M04,3,Valentia Observatory,Knots,54.0
8148,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200304,2003M04,4,Casement,Knots,43.0
8150,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200304,2003M04,6,Clones,Knots,45.0
8151,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200304,2003M04,7,Cork airport,Knots,48.0
8152,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200304,2003M04,8,Dublin airport,Knots,43.0
8154,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200304,2003M04,10,Kilkenny,Knots,36.0
8155,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200304,2003M04,11,Malin head,Knots,54.0
8156,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200304,2003M04,12,Mullingar,Knots,41.0
8158,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200304,2003M04,14,Rosslare,Knots,43.0
8159,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200304,2003M04,15,Shannon airport,Knots,38.0
8160,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200305,2003M05,1,Belmullet,Knots,66.0
8161,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200305,2003M05,2,Birr,Knots,38.0
8162,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200305,2003M05,3,Valentia Observatory,Knots,38.0
8163,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200305,2003M05,4,Casement,Knots,43.0
8165,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200305,2003M05,6,Clones,Knots,41.0
8166,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200305,2003M05,7,Cork airport,Knots,38.0
8167,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200305,2003M05,8,Dublin airport,Knots,40.0
8169,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200305,2003M05,10,Kilkenny,Knots,37.0
8170,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200305,2003M05,11,Malin head,Knots,68.0
8171,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200305,2003M05,12,Mullingar,Knots,34.0
8173,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200305,2003M05,14,Rosslare,Knots,45.0
8174,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200305,2003M05,15,Shannon airport,Knots,42.0
8175,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200306,2003M06,1,Belmullet,Knots,50.0
8176,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200306,2003M06,2,Birr,Knots,34.0
8177,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200306,2003M06,3,Valentia Observatory,Knots,38.0
8178,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200306,2003M06,4,Casement,Knots,44.0
8180,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200306,2003M06,6,Clones,Knots,34.0
8181,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200306,2003M06,7,Cork airport,Knots,38.0
8182,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200306,2003M06,8,Dublin airport,Knots,52.0
8184,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200306,2003M06,10,Kilkenny,Knots,32.0
8185,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200306,2003M06,11,Malin head,Knots,47.0
8186,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200306,2003M06,12,Mullingar,Knots,30.0
8188,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200306,2003M06,14,Rosslare,Knots,41.0
8189,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200306,2003M06,15,Shannon airport,Knots,37.0
8190,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200307,2003M07,1,Belmullet,Knots,47.0
8191,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200307,2003M07,2,Birr,Knots,26.0
8192,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200307,2003M07,3,Valentia Observatory,Knots,33.0
8193,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200307,2003M07,4,Casement,Knots,32.0
8195,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200307,2003M07,6,Clones,Knots,34.0
8196,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200307,2003M07,7,Cork airport,Knots,32.0
8197,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200307,2003M07,8,Dublin airport,Knots,30.0
8199,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200307,2003M07,10,Kilkenny,Knots,28.0
8200,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200307,2003M07,11,Malin head,Knots,40.0
8201,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200307,2003M07,12,Mullingar,Knots,30.0
8203,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200307,2003M07,14,Rosslare,Knots,35.0
8204,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200307,2003M07,15,Shannon airport,Knots,32.0
8205,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200308,2003M08,1,Belmullet,Knots,39.0
8206,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200308,2003M08,2,Birr,Knots,29.0
8207,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200308,2003M08,3,Valentia Observatory,Knots,29.0
8208,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200308,2003M08,4,Casement,Knots,33.0
8210,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200308,2003M08,6,Clones,Knots,28.0
8211,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200308,2003M08,7,Cork airport,Knots,30.0
8212,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200308,2003M08,8,Dublin airport,Knots,38.0
8214,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200308,2003M08,10,Kilkenny,Knots,29.0
8215,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200308,2003M08,11,Malin head,Knots,43.0
8216,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200308,2003M08,12,Mullingar,Knots,26.0
8218,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200308,2003M08,14,Rosslare,Knots,42.0
8219,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200308,2003M08,15,Shannon airport,Knots,34.0
8220,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200309,2003M09,1,Belmullet,Knots,47.0
8221,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200309,2003M09,2,Birr,Knots,30.0
8222,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200309,2003M09,3,Valentia Observatory,Knots,33.0
8223,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200309,2003M09,4,Casement,Knots,37.0
8225,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200309,2003M09,6,Clones,Knots,29.0
8226,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200309,2003M09,7,Cork airport,Knots,37.0
8227,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200309,2003M09,8,Dublin airport,Knots,33.0
8229,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200309,2003M09,10,Kilkenny,Knots,31.0
8230,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200309,2003M09,11,Malin head,Knots,50.0
8231,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200309,2003M09,12,Mullingar,Knots,27.0
8233,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200309,2003M09,14,Rosslare,Knots,38.0
8234,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200309,2003M09,15,Shannon airport,Knots,33.0
8235,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200310,2003M10,1,Belmullet,Knots,46.0
8236,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200310,2003M10,2,Birr,Knots,36.0
8237,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200310,2003M10,3,Valentia Observatory,Knots,39.0
8238,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200310,2003M10,4,Casement,Knots,37.0
8240,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200310,2003M10,6,Clones,Knots,42.0
8241,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200310,2003M10,7,Cork airport,Knots,42.0
8242,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200310,2003M10,8,Dublin airport,Knots,39.0
8244,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200310,2003M10,10,Kilkenny,Knots,36.0
8245,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200310,2003M10,11,Malin head,Knots,61.0
8246,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200310,2003M10,12,Mullingar,Knots,35.0
8248,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200310,2003M10,14,Rosslare,Knots,45.0
8249,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200310,2003M10,15,Shannon airport,Knots,36.0
8250,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200311,2003M11,1,Belmullet,Knots,53.0
8251,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200311,2003M11,2,Birr,Knots,38.0
8252,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200311,2003M11,3,Valentia Observatory,Knots,61.0
8253,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200311,2003M11,4,Casement,Knots,43.0
8255,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200311,2003M11,6,Clones,Knots,45.0
8256,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200311,2003M11,7,Cork airport,Knots,52.0
8257,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200311,2003M11,8,Dublin airport,Knots,47.0
8259,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200311,2003M11,10,Kilkenny,Knots,42.0
8260,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200311,2003M11,11,Malin head,Knots,57.0
8261,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200311,2003M11,12,Mullingar,Knots,37.0
8263,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200311,2003M11,14,Rosslare,Knots,57.0
8264,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200311,2003M11,15,Shannon airport,Knots,52.0
8265,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200312,2003M12,1,Belmullet,Knots,56.0
8266,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200312,2003M12,2,Birr,Knots,38.0
8267,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200312,2003M12,3,Valentia Observatory,Knots,45.0
8268,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200312,2003M12,4,Casement,Knots,51.0
8270,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200312,2003M12,6,Clones,Knots,37.0
8271,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200312,2003M12,7,Cork airport,Knots,40.0
8272,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200312,2003M12,8,Dublin airport,Knots,42.0
8274,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200312,2003M12,10,Kilkenny,Knots,36.0
8275,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200312,2003M12,11,Malin head,Knots,66.0
8276,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200312,2003M12,12,Mullingar,Knots,34.0
8278,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200312,2003M12,14,Rosslare,Knots,46.0
8279,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200312,2003M12,15,Shannon airport,Knots,41.0
8280,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200401,2004M01,1,Belmullet,Knots,62.0
8281,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200401,2004M01,2,Birr,Knots,43.0
8282,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200401,2004M01,3,Valentia Observatory,Knots,57.0
8283,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200401,2004M01,4,Casement,Knots,51.0
8285,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200401,2004M01,6,Clones,Knots,48.0
8286,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200401,2004M01,7,Cork airport,Knots,52.0
8287,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200401,2004M01,8,Dublin airport,Knots,48.0
8289,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200401,2004M01,10,Kilkenny,Knots,52.0
8290,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200401,2004M01,11,Malin head,Knots,57.0
8291,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200401,2004M01,12,Mullingar,Knots,50.0
8293,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200401,2004M01,14,Rosslare,Knots,61.0
8294,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200401,2004M01,15,Shannon airport,Knots,55.0
8295,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200402,2004M02,1,Belmullet,Knots,73.0
8296,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200402,2004M02,2,Birr,Knots,37.0
8297,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200402,2004M02,3,Valentia Observatory,Knots,51.0
8298,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200402,2004M02,4,Casement,Knots,44.0
8300,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200402,2004M02,6,Clones,Knots,54.0
8301,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200402,2004M02,7,Cork airport,Knots,52.0
8302,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200402,2004M02,8,Dublin airport,Knots,51.0
8304,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200402,2004M02,10,Kilkenny,Knots,43.0
8305,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200402,2004M02,11,Malin head,Knots,69.0
8306,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200402,2004M02,12,Mullingar,Knots,37.0
8308,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200402,2004M02,14,Rosslare,Knots,50.0
8309,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200402,2004M02,15,Shannon airport,Knots,45.0
8310,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200403,2004M03,1,Belmullet,Knots,66.0
8311,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200403,2004M03,2,Birr,Knots,52.0
8312,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200403,2004M03,3,Valentia Observatory,Knots,56.0
8313,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200403,2004M03,4,Casement,Knots,64.0
8315,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200403,2004M03,6,Clones,Knots,55.0
8316,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200403,2004M03,7,Cork airport,Knots,56.0
8317,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200403,2004M03,8,Dublin airport,Knots,61.0
8319,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200403,2004M03,10,Kilkenny,Knots,58.0
8320,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200403,2004M03,11,Malin head,Knots,61.0
8321,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200403,2004M03,12,Mullingar,Knots,51.0
8323,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200403,2004M03,14,Rosslare,Knots,59.0
8324,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200403,2004M03,15,Shannon airport,Knots,63.0
8325,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",200404,2004M04,1,Belmullet,Knots,55.0
